Data_Point,Test_Time,DateTime,Step_Time,Step_Index,Cycle_Index,Current,Voltage,Charge_Capacity,Discharge_Capacity,Charge_Energy,Discharge_Energy,dV/dt,Internal_Resistance,Temperature,Aux_Voltage
0,10.002,1527741749.4003,10.002,0,0,0.0,3.3003545,0.0,0.0,0.0,0.0,6.7710876e-05,,,
1,20.0001,1527741759.3984,20.0001,0,0,0.0,3.3004384,0.0,0.0,0.0,0.0,-9.5367432e-07,,32.174412,
2,30.0028,1527741769.4011,30.0028,0,0,0.0,3.3003936,0.0,0.0,0.0,0.0,9.5367432e-06,,32.113926,
3,40.0039,1527741779.4022,40.0039,0,0,0.0,3.3003955,0.0,0.0,0.0,0.0,2.8610229e-05,,32.128719,
4,50.0023,1527741789.4006,50.0023,0,0,0.0,3.3003583,0.0,0.0,0.0,0.0,-5.0544739e-05,,32.142792,
5,60.0013,1527741799.3996,60.0013,0,0,0.0,3.3003926,0.0,0.0,0.0,0.0,-1.9073486e-06,,32.126629,
6,60.0049,1527741799.4032,60.0049,0,0,0.0,3.3003888,0.0,0.0,0.0,0.0,-1.9073486e-06,,32.12685174534162,
7,60.0708,1527741799.4691,0.0063,1,0,1.0944824,3.3224864,0.0,1.6849216e-07,0.0,5.5606267e-07,-0.00018596649,,32.13092922256729,
8,60.1189,1527741799.5172,0.0544,1,0,1.097332,3.3235068,0.0,1.6849216e-07,0.0,5.5606267e-07,-0.00018596649,,32.13390534782609,
9,60.1947,1527741799.593,0.1302,1,0,1.0991249,3.3245358,0.0,1.6849216e-07,0.0,5.5606267e-07,-0.00018596649,,32.1385953747412,
10,60.3884,1527741799.7867,0.3239,1,0,1.0982018,3.3255639,0.0,1.6849216e-07,0.0,5.5606267e-07,-0.00018596649,,32.150580311594204,
11,60.7228,1527741800.1211,0.6583,1,0,1.1001778,3.3265805,0.0002000391,1.6849216e-07,0.0006651929,5.5606267e-07,0.025998116,,32.171270878881984,
12,61.1605,1527741800.5588,1.096,1,0,1.0985527,3.3275905,0.0002000391,1.6849216e-07,0.0006651929,5.5606267e-07,0.025998116,,32.198353,
